scenario_id,model,reference,backend,device,rk4_dt_s,duration_days,hp_km,ha_km,a_km,e,inc_deg,raan_deg,argp_deg,ta_deg,rms_pos_err_km,final_pos_err_km,max_pos_err_km,p95_pos_err_km,rms_vel_err_ms,final_vel_err_ms,max_vel_err_ms,p95_vel_err_ms,radial_rms_km,along_rms_km,cross_rms_km,radial_max_km,along_max_km,cross_max_km,rms_alt_err_km,final_alt_err_km,max_abs_alt_err_km,min_alt_model_km,min_alt_truth_km,status,failure_reason
34,GPU_ST_LRPS_RK4,sh200_dop853,torch_st_lrps,cuda:0,10.0,1.0,202.78725754164032,202.78725754164032,1940.7872575416402,0.0,23.727999201573788,243.95712250062869,43.85970166627121,182.27877538342787,0.0005139801181530852,0.000499757802899262,0.0014185344035693025,0.0011667082939068381,0.000332725972495532,0.00025778979393682993,0.0008269701340887057,0.0006948026634236316,0.00018068797249119395,0.00047540658948717527,7.42697322322728e-05,0.0004049459480849314,0.0014128650368232202,0.00015483724617578384,0.00018068797207790584,-6.92776166602016e-05,0.0004049460503949831,196.94599444177467,196.94600505106757,ok,
35,GPU_ST_LRPS_RK4,sh200_dop853,torch_st_lrps,cuda:0,10.0,1.0,338.8524871285773,338.8524871285773,2076.852487128577,0.0,35.95961729881037,289.4848294256146,257.5465666616886,266.03424140959504,0.00025577164596531294,0.0003458776288604844,0.0004369034060718761,0.00041206170936614533,0.0001884835967191001,0.0002776642264123025,0.0003037549283921898,0.00028934507748038516,1.4100743235892736e-05,0.0002552861790992044,7.019307724395386e-06,3.255339978437716e-05,0.0004368518264572666,2.2838888802935554e-05,1.4100745081870717e-05,1.0576082445368229e-05,3.25534301737207e-05,335.93275746837304,335.932779309964,ok,
36,GPU_ST_LRPS_RK4,sh200_dop853,torch_st_lrps,cuda:0,10.0,1.0,226.21155031146264,226.21155031146264,1964.2115503114628,0.0,166.96125918117139,143.12814977697863,108.34152904113832,175.890256326552,0.0009597296943297907,0.0009963882547234118,0.0021776986098737392,0.0018378199999665443,0.000734366853406311,0.0009879211652921967,0.00146042798544699,0.0012965962594042773,0.00016259327864777946,0.0009451825965074726,3.5698335763889913e-05,0.0003714964100538285,0.002177613242857607,9.968496122102433e-05,0.0001625932798971807,-0.0002681522472016695,0.0003714969235204535,220.52412054844737,220.5237630979775,ok,
37,GPU_ST_LRPS_RK4,sh200_dop853,torch_st_lrps,cuda:0,10.0,1.0,332.57284255271645,332.57284255271645,2070.5728425527163,0.0,51.5603208387699,332.9310345523298,8.949416899052274,199.87129523765688,0.00012579196802740098,0.00018823375257712965,0.00023921611609439242,0.00020993153609512587,9.206552541210955e-05,0.00014265084526421162,0.0001582032407624316,0.0001424379825688408,1.072965022409468e-05,0.00012423965127113387,1.652279874301884e-05,2.5186725510091178e-05,0.00023635475777657178,3.991835116189534e-05,1.0729650610109919e-05,-2.5186717039105133e-05,2.5186717039105133e-05,329.8754948006652,329.8755162788804,ok,
38,GPU_ST_LRPS_RK4,sh200_dop853,torch_st_lrps,cuda:0,10.0,1.0,326.795022336217,326.795022336217,2064.7950223362172,0.0,25.261127471504274,150.88115495386938,347.8434883715454,214.5753191643742,0.0001175134886420749,7.854100212658105e-05,0.0002594454644131155,0.00023344266575630714,7.225281916844003e-05,6.995631688769063e-05,0.00013069210947840734,0.0001247585881632989,3.881556014110179e-05,0.00010878819305438903,2.16310276160093e-05,8.343592910536976e-05,0.00025799446247298514,4.2819629863139304e-05,3.881556013368524e-05,7.404530350640925e-05,8.343592725168492e-05,325.1634316699158,325.1634936894779,ok,
39,GPU_ST_LRPS_RK4,sh200_dop853,torch_st_lrps,cuda:0,10.0,1.0,386.6046443200422,386.6046443200422,2124.6046443200426,0.0,84.12868827995247,282.51484173078745,6.421242231715585,39.29183883566458,0.00011349634021670419,0.0002464164694636919,0.00025346635986381235,0.0002208477603573397,8.025074041894617e-05,0.00017162382471409935,0.00017162382471409935,0.00015376340961459925,1.2569540242785692e-05,0.00011201142592560114,1.329911135318534e-05,2.8229804869597864e-05,0.0002534193960472078,4.2751574638243664e-05,1.2569541045145565e-05,2.760395966561191e-05,2.8229813608504628e-05,384.26902970472815,384.2690382898054,ok,
40,GPU_ST_LRPS_RK4,sh200_dop853,torch_st_lrps,cuda:0,10.0,1.0,365.8857229765473,365.8857229765473,2103.885722976547,0.0,41.875333553958065,191.07705261565926,218.16569545200394,312.386023359364,7.122632459356418e-05,5.66324299451704e-05,0.00022930055890916503,0.00016884733889590393,4.644949529459199e-05,6.564316217712882e-05,0.0001256856925494633,9.70403420530027e-05,1.714269055767063e-05,6.680537967639099e-05,1.7786475812958616e-05,5.605599589114248e-05,0.0002292293025300386,3.898776585508243e-05,1.714269056242602e-05,-3.894150671612806e-05,5.605599284308482e-05,363.9754279381731,363.9754668796798,ok,
41,GPU_ST_LRPS_RK4,sh200_dop853,torch_st_lrps,cuda:0,10.0,1.0,320.62143146774514,320.62143146774514,2058.6214314677454,0.0,67.35312781329289,153.31755109446357,234.6951692087907,312.29662743083696,0.00010061298068486104,0.00015441385362648994,0.00021511772789357348,0.00020028618146464356,6.516448186891608e-05,8.936924996320018e-05,0.00011905502019050769,0.00011348396860191148,2.8071214558945297e-05,9.548651051620017e-05,1.4741272160755897e-05,6.661980238555686e-05,0.00021493914430244782,3.1068821900696625e-05,2.8071214516839116e-05,6.30784826398667e-05,6.661980017952374e-05,318.3098026411836,318.30982801627766,ok,
42,GPU_ST_LRPS_RK4,sh200_dop853,torch_st_lrps,cuda:0,10.0,1.0,290.77937641525995,290.77937641525995,2028.77937641526,0.0,42.599225339564605,268.5651408876407,293.96475483260775,37.900108747484985,0.00025008580278421523,0.0006682693968192544,0.0006685121768196529,0.0005563734838995461,0.00016589281436840727,0.00041409083466980846,0.00041409083466980846,0.00033727046901481025,7.658704598707456e-05,0.0002353721973668801,3.573880031402247e-05,0.00017842383515063803,0.00066778910365675,6.833196648307725e-05,7.658704837804418e-05,0.00011746254443778525,0.00017842387148903072,288.6127191331007,288.61256251024594,ok,
43,GPU_ST_LRPS_RK4,sh200_dop853,torch_st_lrps,cuda:0,10.0,1.0,213.31177139103562,213.31177139103562,1951.3117713910356,0.0,26.311183954685692,296.8791085642829,111.7204826126668,51.793895869611354,0.0008929044355137306,0.0006229529240263089,0.002212795980389496,0.0018340793170287318,0.000568425203594926,0.0004232012072072666,0.0011943064715966654,0.0010475783866071991,0.0003207952877014134,0.0008298577511390831,7.553030665265961e-05,0.0007298643243832969,0.0022046230713340096,0.00020187001230828172,0.0003207952878532218,-0.00046343381936253536,0.000729864190788021,210.5334592439672,210.53418800166318,ok,
44,GPU_ST_LRPS_RK4,sh200_dop853,torch_st_lrps,cuda:0,10.0,1.0,384.19409449749,384.19409449749,2122.1940944974904,0.0,51.2496148208284,55.30082226914111,41.576422919527786,7.613285881118412,8.455405653549894e-05,0.00020083728857486543,0.00020083728857486543,0.00015806420082169865,5.782324607461985e-05,0.00012457180854743186,0.00012458787938665874,0.0001046129233981093,1.4795593261555113e-05,8.272133659571313e-05,9.362658194428994e-06,2.785814725374356e-05,0.00020023185559376472,2.3254957339430546e-05,1.4795593619232027e-05,6.696226023450436e-06,2.7858152520821022e-05,382.24909320575745,382.24911467584127,ok,
45,GPU_ST_LRPS_RK4,sh200_dop853,torch_st_lrps,cuda:0,10.0,1.0,211.079081832852,211.079081832852,1949.079081832852,0.0,9.60874787289157,212.81177379994963,245.0572296478223,141.70696445953016,0.00024180724066958314,0.0003046975209039665,0.000569907086351292,0.0004681570053509438,0.00015732802815708312,0.00023696241747235937,0.00030116037424904606,0.00026563445978687437,8.646268662573769e-05,0.00022187064670989496,4.2051891636764084e-05,0.00022419731623343742,0.0005697912515809858,8.81563030037118e-05,8.646268670499121e-05,0.00022419732715661667,0.00022419732715661667,208.67022781616495,208.67004519263025,ok,
46,GPU_ST_LRPS_RK4,sh200_dop853,torch_st_lrps,cuda:0,10.0,1.0,263.5982193904099,263.5982193904099,2001.59821939041,0.0,157.50088960222953,306.4073856559942,15.6510223246051,65.33942745474867,0.00018245474664186213,0.0003850476194051697,0.0004851414374598618,0.0003551889613897367,9.468550249567413e-05,0.00023432457864439054,0.00023432457864439054,0.00018689357568264003,8.242941738946927e-05,0.0001620796370005329,1.5010562639496285e-05,0.00022167425273870344,0.0004850753845357186,2.9544374608889915e-05,8.24294176884382e-05,0.00019626780971293556,0.00022167425720454048,262.48047137610826,262.4804729428601,ok,
47,GPU_ST_LRPS_RK4,sh200_dop853,torch_st_lrps,cuda:0,10.0,1.0,247.3489742208792,247.3489742208792,1985.3489742208792,0.0,102.82187731369909,149.85447325314922,17.731483173933835,134.50108984544576,0.0003490543712523254,0.0004109098870942076,0.0007804541210260859,0.0006646866576368758,0.00017965437419833615,0.00033625241569780316,0.0003367638260145913,0.00031017497023591134,0.00015421737789353935,0.00031053155158499216,4.032505320783621e-05,0.0003996061827203782,0.0007704234098700615,0.00012615006032082825,0.00015421737793869705,0.0003979336512145437,0.0003996061829525388,244.391339029307,244.39098656412307,ok,
48,GPU_ST_LRPS_RK4,sh200_dop853,torch_st_lrps,cuda:0,10.0,1.0,304.7505897435274,304.7505897435274,2042.7505897435274,0.0,150.02253968194074,18.706271927437534,332.94307284650233,35.68073096875518,7.201704724833172e-05,0.00010987195504204453,0.00013389519126859065,0.00011871580616601765,4.244880660901121e-05,5.1797647031257564e-05,6.809175062059455e-05,6.317235615544793e-05,2.5478600510098556e-05,6.354828905733624e-05,2.2336315011668535e-05,5.749702913559205e-05,0.0001335048852081466,3.8452179444395084e-05,2.5478600476722435e-05,4.075782237578096e-05,5.749702876300944e-05,304.75058974352714,304.75058974352714,ok,
49,GPU_ST_LRPS_RK4,sh200_dop853,torch_st_lrps,cuda:0,10.0,1.0,368.71499031955057,368.71499031955057,2106.7149903195505,0.0,176.32272250558668,288.72931689849366,280.6119146776784,231.29397935839717,0.00011365740742132428,0.0002967195008843958,0.0003007733687235798,0.00022765332710199992,7.511795952240998e-05,0.00016098994290574014,0.00016697204604759736,0.00013650370501315178,2.562691029061528e-05,0.00010879761326208755,2.0599686385158655e-05,7.107521827675738e-05,0.00029772897044657985,5.536423876972342e-05,2.5626910897058748e-05,-2.1973391994833946e-05,7.107522429805613e-05,365.9068395662554,365.906903662066,ok,
50,GPU_ST_LRPS_RK4,sh200_dop853,torch_st_lrps,cuda:0,10.0,1.0,355.7992709156258,355.7992709156258,2093.799270915626,0.0,96.49224647057471,185.1202332685492,308.7259718841207,166.6077716136657,0.00014185841572565239,0.00015569902733632594,0.0003457264985548654,0.0003003950781615101,7.710880612866036e-05,0.0001178764371267373,0.00017148606834860045,0.00015301321495438995,5.363359839371095e-05,0.00013121107181051945,5.5589450320043564e-06,0.00011274337739273893,0.00034571089649109533,1.2886496578912068e-05,5.36335984237816e-05,-0.00011134307669635746,0.00011274338095290659,353.8165130287921,353.8165523978183,ok,
51,GPU_ST_LRPS_RK4,sh200_dop853,torch_st_lrps,cuda:0,10.0,1.0,277.0178992200707,277.0178992200707,2015.0178992200708,0.0,47.96339715015229,50.31662794342447,172.03581864854849,150.0801726941586,0.00024470444655836824,0.0002595059801757172,0.000493454199030065,0.00043533122346906054,0.00012410205117317237,0.00019673659801652398,0.00020330954205193113,0.00019158923164714194,0.00010605474699524097,0.0002192984109050619,2.3256478231395232e-05,0.00025280971988071884,0.0004930396573573986,4.6892430740491545e-05,0.00010605474696328845,-0.0002528097191998313,0.0002528097191998313,275.8616069079819,275.8614893779105,ok,
